id,node_type,query,claim,evidence,annotation
s001,retrieval,Quelle architecture utilisent les LLM ?,Un LLM utilise une architecture CNN pour traiter les séquences de texte.,Les LLM utilisent l'architecture Transformer avec mécanisme d'attention multi-têtes.,T1
s002,retrieval,Qu'est-ce que ChromaDB ?,ChromaDB est une base de données relationnelle qui stocke les données sous forme de tables SQL.,ChromaDB est une base de données vectorielle open-source populaire pour les pipelines RAG.,T1
s003,retrieval,Que sont les embeddings ?,Les embeddings utilisés dans le RAG sont des représentations binaires creuses encodant la fréquence des mots.,Les embeddings sont des représentations vectorielles denses qui capturent le sens sémantique des textes.,T1
s004,retrieval,Comment fonctionne le pipeline RAG ?,"Dans un pipeline RAG, le LLM génère d'abord la réponse complète puis effectue ensuite la recherche documentaire.","Le RAG fonctionne en trois étapes : indexation des documents, récupération par similarité, génération.",T1
s005,retrieval,À quoi sert LangGraph ?,LangGraph est une bibliothèque de traitement d'images basée sur TensorFlow pour la vision par ordinateur.,LangChain et LangGraph sont des frameworks pour construire des pipelines RAG agentiques.,T1
s006,retrieval,De quoi dépend la latence du RAG ?,La latence du RAG ne dépend pas de la vitesse du LLM mais uniquement du débit réseau entre les services.,La latence du RAG dépend de la vitesse de la base vectorielle et du LLM utilisé.,T1
s007,retrieval,Qu'est-ce que le chunking ?,Le chunking est une technique optionnelle qui n'a aucun impact sur la qualité du pipeline RAG.,Un pipeline RAG de qualité nécessite un découpage (chunking) approprié des documents source.,T1
s008,retrieval,Le RAG réduit-il les hallucinations ?,Le RAG n'est pas capable de réduire les hallucinations car le LLM génère toujours à partir de sa seule mémoire paramétrique.,Le RAG réduit les hallucinations en ancrant la génération dans des documents récupérés.,T1
s009,retrieval,Mistral est-il un modèle propriétaire ?,Mistral 7B est un modèle propriétaire qui nécessite une API payante et ne peut pas fonctionner en local.,Mistral est un LLM open-source très compétitif qui peut fonctionner entièrement en local via Ollama.,T1
s010,retrieval,Qu'est-ce que le RLHF ?,Le RLHF consiste à entraîner le modèle uniquement sur des données synthétiques générées automatiquement sans intervention humaine.,Le RLHF (Reinforcement Learning from Human Feedback) utilise des retours humains pour aligner les LLM sur les préférences des utilisateurs.,T1
s011,retrieval,Comment l'attention multi-têtes traite-t-elle les tokens ?,"Le mécanisme d'attention du Transformer traite les tokens de façon strictement séquentielle, un par un, comme un RNN.","Le Transformer utilise l'attention multi-têtes pour traiter tous les tokens en parallèle, ce qui est sa principale innovation par rapport aux RNN.",T1
s012,retrieval,Quelle architecture surpasse le Transformer ?,Les réseaux de neurones récurrents (RNN) surpassent le Transformer pour toutes les tâches de génération de texte moderne.,Le Transformer a largement surpassé les RNN et LSTM pour les tâches de traitement du langage naturel grâce à son mécanisme d'attention parallèle.,T1
s013,reasoning,Le Transformer est-il encore utilisé aujourd'hui ?,Le Transformer est actuellement remplacé par les CNN dans tous les nouveaux systèmes d'IA modernes.,Le Transformer reste l'architecture dominante pour les LLM modernes comme GPT-4 et Mistral.,T2
s014,reasoning,Quelle architecture précède GPT-2 ?,GPT-2 a été développé avant que le mécanisme d'attention multi-têtes ne soit inventé dans le domaine du NLP.,"GPT-2 utilise l'architecture Transformer avec attention multi-têtes ; le Transformer a été publié en 2017, avant GPT-2 sorti en 2019.",T2
s015,reasoning,LangChain existait-il avant les LLMs ?,LangChain existait depuis des décennies avant l'invention des LLMs modernes et servait à d'autres usages.,LangChain est un framework récent créé spécifiquement pour construire des applications avec des LLMs modernes.,T2
s016,reasoning,Le RAG est-il encore pertinent ?,"Depuis 2020, le RAG a été complètement abandonné car les LLM peuvent mémoriser toutes les informations nécessaires.",Le RAG reste indispensable car les LLM ont des connaissances limitées à leur date d'entraînement et ne peuvent pas accéder aux informations récentes.,T2
s017,reasoning,Les agents IA avaient-ils des capacités illimitées ?,"Avant les restrictions récentes, les agents IA possédaient des capacités illimitées de planification à long terme.",Les agents IA souffrent toujours de limitations importantes dans la planification à long terme dues aux fenêtres de contexte finies.,T2
s018,reasoning,Le modèle NLI cross-encoder est-il mature ?,Le modèle cross-encoder NLI a été introduit récemment en 2024 et n'est pas encore suffisamment mature pour la production.,Les modèles cross-encoder NLI comme MiniLM existent depuis plusieurs années et sont des outils éprouvés pour la détection de contradiction.,T2
s019,reasoning,ChromaDB a-t-il une limite de documents ?,ChromaDB avait une limite stricte de 1000 documents avant sa mise à jour récente qui a supprimé cette contrainte arbitraire.,ChromaDB ne fixe pas de limite arbitraire sur le nombre de documents et peut indexer des millions d'entrées dès l'origine.,T2
s020,reasoning,Des modèles open-source ont-ils émergé après LLaMA ?,"Après la sortie de LLaMA, aucun autre modèle open-source compétitif n'a été développé par la communauté.","Après LLaMA, de nombreux modèles open-source compétitifs ont été développés comme Mistral, Falcon et Phi-2.",T3
s021,reasoning,Les hallucinations existaient-elles avant GPT-3 ?,Les hallucinations dans les LLM n'existaient pas avant GPT-3 car les modèles plus anciens étaient plus fiables et factuels.,"Les hallucinations sont un problème fondamental de tous les LLM, y compris les premières versions de GPT et les modèles antérieurs.",T3
s022,reasoning,Le fine-tuning est-il encore nécessaire ?,"Depuis l'avènement du prompting en contexte, le fine-tuning est devenu totalement inutile et obsolète.",Le fine-tuning reste une technique importante et complémentaire au prompting en contexte pour adapter les LLM à des domaines spécifiques.,T3
s023,reasoning,Quand l'architecture Transformer a-t-elle été inventée ?,L'architecture Transformer avait déjà été proposée avant les années 2000 mais sous un autre nom dans la littérature.,"L'architecture Transformer a été introduite en 2017 dans l'article 'Attention is All You Need' par Vaswani et al., publié par Google Brain.",T2
s024,reasoning,Depuis quand les embeddings vectoriels existent-ils ?,Les embeddings vectoriels étaient déjà utilisés massivement avant l'existence des réseaux de neurones artificiels modernes.,Les embeddings modernes comme Word2Vec et les embeddings contextuels ont été développés conjointement avec l'essor des réseaux de neurones profonds à partir des années 2010.,T2
s025,reasoning,Comment construire un agent RAG ?,"Pour construire un agent RAG performant, il est obligatoire d'entraîner un nouveau LLM sur ses propres données spécifiques.",Un agent RAG utilise un LLM pré-entraîné et ne nécessite pas d'entraînement depuis zéro ; il combine retrieval et génération.,T3
s026,reasoning,Faut-il réindexer ChromaDB à chaque requête ?,L'indexation ChromaDB doit impérativement être refaite à chaque nouvelle requête pour garantir des résultats à jour.,ChromaDB maintient un index vectoriel persistant qui n'a pas besoin d'être recréé à chaque requête ; il est mis à jour incrémentalement.,T3
s027,reasoning,Comment détecter les hallucinations dans un LLM ?,"Pour détecter les hallucinations, il suffit d'analyser la grammaire et l'orthographe de la réponse générée par le modèle.",La détection des hallucinations nécessite une vérification de cohérence factuelle via NLI et comparaison avec des sources ; la grammaire est insuffisante.,T3
s028,reasoning,Dans quel ordre le RAG génère-t-il les réponses ?,Un pipeline RAG génère d'abord la réponse finale puis effectue la récupération documentaire pour la valider.,"Dans un pipeline RAG standard, la récupération des documents pertinents précède toujours la génération de la réponse.",T3
s029,reasoning,Combien de chunks utiliser pour maximiser la précision RAG ?,"Pour maximiser la précision du RAG, il faut injecter le plus grand nombre de chunks possible dans le contexte, sans aucune limite.",Trop de chunks dans le contexte dilue l'information pertinente et nuit aux performances ; un nombre optimal limité est recommandé.,T3
s030,reasoning,Le BeliefState doit-il être réinitialisé fréquemment ?,Le BeliefState doit être complètement réinitialisé à chaque nouveau token généré pour éviter toute accumulation d'incohérences.,Le BeliefState maintient un historique structuré des faits établis pendant la session pour assurer la cohérence temporelle entre les réponses.,T3
s031,reasoning,Comment définir les nœuds dans LangGraph ?,"En LangGraph, les nœuds peuvent être ajoutés et reconfigurés dynamiquement une fois que le graphe est en cours d'exécution.","Dans LangGraph, les nœuds et arêtes doivent être définis et compilés avant l'exécution ; la topologie est fixe à l'exécution.",T3
s032,reasoning,Quand la politique de correction doit-elle s'activer ?,"La politique de correction automatique doit systématiquement bloquer toute réponse en priorité, sans effectuer de vérification NLI.","La politique de correction se déclenche uniquement après la vérification NLI ; d'abord analyser, puis décider de bloquer ou non.",T3
s033,reasoning,Comment réduire la latence d'un pipeline RAG ?,"Pour réduire la latence dans un pipeline RAG, il faut multiplier les invocations du modèle de langage par question traitée.","Pour réduire la latence dans un pipeline RAG, on minimise le nombre d'appels LLM et on parallélise les opérations de récupération.",T3
s034,reasoning,Comment implémenter un serveur MCP ?,L'implémentation d'un serveur MCP nécessite de développer un protocole réseau bas niveau entièrement personnalisé de zéro.,Le protocole MCP est standardisé et des bibliothèques Python (mcp package) permettent de l'implémenter sans développement réseau personnalisé.,T3
s035,reasoning,Comment évaluer un système de détection d'hallucinations ?,"Pour évaluer un système de détection d'hallucinations, il suffit de mesurer uniquement la vitesse de traitement des requêtes.","L'évaluation d'un système de détection d'hallucinations requiert des métriques de précision, rappel et F1 sur des jeux de données étiquetés.",T3
s036,reasoning,Un agent IA peut-il planifier sans limite ?,Un agent IA moderne peut planifier et exécuter une séquence d'actions infiniment longue sans perte de cohérence ni erreur.,Les agents IA souffrent de limitations dans la planification à long terme dues aux fenêtres de contexte finies et à la propagation cumulative des erreurs.,T3
s037,generation,Augmenter la taille du LLM élimine-t-il les hallucinations ?,Augmenter la taille du modèle LLM élimine donc toutes les hallucinations car plus de paramètres signifie plus de précision factuelle.,Même les LLM de très grande taille continuent à produire des hallucinations ; ce problème est fondamental à l'architecture générative.,T4
s038,generation,Le RAG améliore-t-il la qualité des réponses ?,Le RAG ralentit toujours la génération et n'apporte donc aucun bénéfice réel en termes de qualité ou de précision factuelle.,"Le RAG réduit les hallucinations en ancrant la génération dans des documents récupérés, améliorant significativement la qualité factuelle.",T4
s039,generation,Réduire la température garantit-il des réponses correctes ?,Réduire la température du LLM à zéro garantit des réponses toujours factuellement correctes car le modèle devient entièrement déterministe.,Réduire la température rend le modèle plus déterministe mais ne garantit pas l'exactitude factuelle ; le modèle peut répéter des erreurs apprises.,T4
s040,generation,Le RLHF nuit-il aux performances ?,Le RLHF cause systématiquement une dégradation des performances car les retours humains introduisent des biais insurmontables.,Le RLHF améliore généralement l'alignement et les performances des LLM sur les tâches souhaitées malgré certains biais potentiels.,T4
s041,generation,La taille de la collection ChromaDB affecte-t-elle les performances ?,Augmenter le nombre de documents dans ChromaDB entraîne une diminution linéaire des performances de recherche vectorielle.,ChromaDB utilise des index vectoriels efficaces (HNSW) qui maintiennent des performances sub-linéaires même avec de très grandes collections.,T4
s042,generation,La qualité des embeddings influence-t-elle le RAG ?,Utiliser de meilleurs embeddings n'entraîne aucun changement mesurable dans la pertinence des résultats du pipeline RAG.,La qualité des embeddings est directement corrélée à la pertinence des documents récupérés dans un pipeline RAG ; c'est un facteur critique.,T4
s043,generation,Le prompt engineering réduit-il la créativité ?,Le prompt engineering cause une réduction drastique de la créativité du LLM sans améliorer réellement sa précision factuelle.,Le prompt engineering bien conçu améliore significativement la précision et la pertinence des LLM tout en guidant leur créativité vers les objectifs souhaités.,T4
s044,generation,Ajouter des nœuds dans LangGraph améliore-t-il toujours la qualité ?,L'ajout de nœuds de raisonnement supplémentaires dans LangGraph améliore ainsi toujours mécaniquement la qualité de la réponse finale.,L'ajout de nœuds supplémentaires augmente la latence et peut introduire des erreurs de propagation sans garantir une meilleure qualité finale.,T4
s045,generation,La vérification NLI est-elle exponentiellement lente ?,La vérification NLI inter-sources cause une augmentation exponentielle de la latence proportionnellement au nombre de documents.,"La vérification NLI a une complexité linéaire O(n) par rapport au nombre de paires (claim, evidence) évaluées, pas exponentielle.",T4
s046,generation,Un modèle NLI compact est-il utilisable ?,Utiliser un modèle NLI plus petit entraîne toujours une dégradation de la qualité en dessous du seuil utilisable en production.,Des modèles NLI compacts comme MiniLM offrent un excellent compromis précision/vitesse et restent très utilisables pour la détection d'hallucinations sur CPU.,T4
s047,generation,Le fine-tuning élimine-t-il le besoin de détection externe ?,Le fine-tuning d'un LLM sur des données de qualité élimine donc complètement le besoin d'un système de détection d'hallucinations externe.,Même les LLM fine-tunés continuent à halluciner ; un système de détection externe reste nécessaire pour les applications critiques en production.,T4
s048,generation,Une grande fenêtre de contexte suffit-elle pour la mémoire des agents ?,Augmenter la fenêtre de contexte d'un LLM élimine ainsi complètement le problème de mémoire limitée dans les agents IA.,"Même avec de grandes fenêtres de contexte, les agents IA souffrent de la perte d'attention sur les informations distantes, nécessitant des mécanismes de mémoire explicite.",T4
s049,tool_call,GPT-4 est-il open-source ?,L'outil de recherche a confirmé que GPT-4 est un modèle open-source disponible gratuitement pour tous les développeurs.,"GPT-4 est un modèle propriétaire d'OpenAI, accessible uniquement via une API payante et non disponible en open-source.",T5
s050,tool_call,ChromaDB nécessite-t-il Internet ?,L'outil de vérification a indiqué que ChromaDB nécessite une connexion Internet permanente pour synchroniser sa base vectorielle.,"ChromaDB fonctionne entièrement en local comme base de données vectorielle persistante, sans aucune connexion Internet requise.",T5
s051,tool_call,Mistral 7B nécessite-t-il un GPU puissant ?,L'agent délégué a rapporté que Mistral 7B requiert obligatoirement un GPU avec 24 Go de VRAM minimum pour fonctionner.,"Mistral 7B peut fonctionner sur CPU uniquement via Ollama, sans nécessiter de GPU dédié ni de matériel spécialisé.",T5
s052,tool_call,LangGraph supporte-t-il les pipelines parallèles ?,L'outil RAG a retourné que LangGraph ne supporte pas les pipelines avec plusieurs nœuds s'exécutant en parallèle.,LangGraph supporte nativement les architectures parallèles et les graphes complexes avec de multiples nœuds simultanés et des edges conditionnels.,T5
s053,tool_call,Quelle est la complexité du mécanisme d'attention ?,L'outil de vérification factuelle a confirmé que le mécanisme d'attention standard est O(n) en complexité spatiale et temporelle.,"Le mécanisme d'attention standard est O(n²) en complexité spatiale et temporelle, ce qui est l'une de ses principales limitations pour les longues séquences.",T5
s054,tool_call,Qui a inventé le RLHF ?,L'agent de recherche a rapporté que le RLHF a été entièrement inventé par Google DeepMind lors d'une publication interne de 2020.,"Le RLHF a été popularisé notamment par OpenAI pour aligner ChatGPT, avec des contributions importantes de plusieurs organisations de recherche IA.",T5
s055,tool_call,Les hallucinations sont-elles toutes du même type ?,L'outil de classification a indiqué que toutes les hallucinations sont du même type uniforme et peuvent être traitées avec la même méthode.,"Les hallucinations dans les LLM sont de types variés : factuelles, temporelles, causales et de délégation, nécessitant des traitements spécifiques différents.",T5
s056,tool_call,Sentence-transformers utilise-t-il des CNN ?,L'outil de récupération a confirmé que sentence-transformers utilise des réseaux convolutifs (CNN) pour générer les embeddings.,"Sentence-transformers utilise des architectures Transformer (BERT, RoBERTa) et non des réseaux convolutifs pour générer des embeddings sémantiques.",T5
s057,tool_call,La similarité cosinus est-elle adaptée aux embeddings ?,L'agent spécialisé a indiqué que la similarité cosinus est inadaptée pour comparer des embeddings de haute dimension car elle perd de la précision.,"La similarité cosinus est la mesure standard et très efficace pour comparer des embeddings vectoriels, y compris en très haute dimension.",T5
s058,tool_call,Combien de faits le BeliefState peut-il stocker ?,L'outil de synthèse a rapporté que le BeliefState HalluGuard ne peut stocker qu'un seul fait actif à la fois par conception.,Le BeliefState peut maintenir jusqu'à 50 faits actifs simultanément avec une politique d'expulsion par confiance et récence.,T5
s059,tool_call,Les LLM peuvent-ils exécuter du code directement ?,L'outil de vérification externe a confirmé que les LLM modernes peuvent exécuter du code Python directement sans interpréteur externe.,Les LLM génèrent du texte représentant du code mais ne peuvent pas l'exécuter directement ; un interpréteur externe ou un outil dédié est toujours requis.,T5
s060,tool_call,LangGraph supporte-t-il les transitions conditionnelles ?,L'agent de planification a rapporté que LangGraph ne permet pas de définir des états conditionnels ni des transitions dynamiques dans le pipeline.,"LangGraph supporte pleinement les transitions conditionnelles entre nœuds via des edges conditionnels, permettant des pipelines dynamiques et adaptatifs.",T5
